C4S track file / LorettOrbital 0.0.4
StationName: C4STest
Station Position: 37.3325° 55.6442° 0.159km
Satellite: METOP-C
Start date & time: 2023-04-07   08:02:05 UTC
Orbit: 22905
Time (UTC)   Azimuth (deg:min)   Elevation (deg:min)

08:02:05   000:51   055:00
08:02:06   000:36   055:21
08:02:07   000:21   055:42
08:02:08   000:06   056:04
08:02:09   359:50   056:26
08:02:10   359:34   056:48
08:02:11   359:17   057:10
08:02:12   359:00   057:32
08:02:13   358:42   057:54
08:02:14   358:24   058:16
08:02:15   358:05   058:39
08:02:16   357:46   059:01
08:02:17   357:26   059:24
08:02:18   357:05   059:46
08:02:19   356:44   060:09
08:02:20   356:23   060:32
08:02:21   356:00   060:55
08:02:22   355:37   061:18
08:02:23   355:13   061:41
08:02:24   354:49   062:04
08:02:25   354:24   062:27
08:02:26   353:58   062:50
08:02:27   353:31   063:13
08:02:28   353:03   063:36
08:02:29   352:34   064:00
08:02:30   352:04   064:23
08:02:31   351:33   064:46
08:02:32   351:01   065:10
08:02:33   350:28   065:33
08:02:34   349:54   065:56
08:02:35   349:18   066:19
08:02:36   348:41   066:43
08:02:37   348:03   067:06
08:02:38   347:23   067:29
08:02:39   346:42   067:52
08:02:40   345:59   068:15
08:02:41   345:15   068:38
08:02:42   344:29   069:01
08:02:43   343:41   069:23
08:02:44   342:51   069:46
08:02:45   341:58   070:08
08:02:46   341:04   070:30
08:02:47   340:08   070:52
08:02:48   339:09   071:14
08:02:49   338:08   071:36
08:02:50   337:04   071:57
08:02:51   335:58   072:18
08:02:52   334:48   072:38
08:02:53   333:36   072:59
08:02:54   332:21   073:19
08:02:55   331:03   073:38
08:02:56   329:41   073:57
08:02:57   328:16   074:15
08:02:58   326:47   074:33
08:02:59   325:15   074:51
08:03:00   323:39   075:07
08:03:01   321:59   075:23
08:03:02   320:16   075:39
08:03:03   318:29   075:53
08:03:04   316:38   076:07
08:03:05   314:43   076:20
08:03:06   312:44   076:32
08:03:07   310:42   076:43
08:03:08   308:37   076:54
08:03:09   306:28   077:03
08:03:10   304:17   077:11
08:03:11   302:02   077:18
08:03:12   299:46   077:23
08:03:13   297:27   077:28
08:03:14   295:07   077:31
08:03:15   292:46   077:33
08:03:16   290:24   077:34
08:03:17   288:02   077:34
08:03:18   285:41   077:32
08:03:19   283:20   077:30
08:03:20   281:01   077:26
08:03:21   278:43   077:20
08:03:22   276:28   077:14
08:03:23   274:15   077:07
08:03:24   272:05   076:58
08:03:25   269:58   076:48
08:03:26   267:54   076:38
08:03:27   265:54   076:26
08:03:28   263:57   076:13
08:03:29   262:04   076:00
08:03:30   260:15   075:46
08:03:31   258:30   075:31
08:03:32   256:48   075:15
08:03:33   255:10   074:58
08:03:34   253:36   074:41
08:03:35   252:06   074:24
08:03:36   250:39   074:05
08:03:37   249:16   073:47
08:03:38   247:56   073:27
08:03:39   246:39   073:08
08:03:40   245:25   072:48
08:03:41   244:15   072:27
08:03:42   243:07   072:06
08:03:43   242:02   071:45
08:03:44   240:59   071:24
08:03:45   239:59   071:02
08:03:46   239:02   070:40
08:03:47   238:07   070:18
08:03:48   237:14   069:56
08:03:49   236:23   069:33
08:03:50   235:34   069:11
08:03:51   234:46   068:48
08:03:52   234:01   068:25
08:03:53   233:18   068:02
08:03:54   232:36   067:39
08:03:55   231:55   067:16
08:03:56   231:16   066:52
08:03:57   230:39   066:29
08:03:58   230:02   066:06
08:03:59   229:28   065:42
08:04:00   228:54   065:19
08:04:01   228:21   064:56
08:04:02   227:50   064:32
08:04:03   227:20   064:09
08:04:04   226:50   063:46
08:04:05   226:22   063:22
08:04:06   225:54   062:59
08:04:07   225:28   062:36
08:04:08   225:02   062:13
08:04:09   224:37   061:49
08:04:10   224:13   061:26
08:04:11   223:50   061:03
08:04:12   223:27   060:40
08:04:13   223:05   060:17
08:04:14   222:44   059:55
08:04:15   222:23   059:32
08:04:16   222:03   059:09
08:04:17   221:43   058:47
08:04:18   221:24   058:24
08:04:19   221:06   058:02
08:04:20   220:48   057:39
08:04:21   220:30   057:17
08:04:22   220:13   056:55
08:04:23   219:57   056:33
08:04:24   219:41   056:11
08:04:25   219:25   055:49
08:04:26   219:10   055:28
