Satellite: METEOR-M2 2
Start date & time: 2021-08-17   11:38:31 UTC
Orbit: 11015
Time(UTC)		Azimuth(d)	Elevation(d) X(m)		Y(m)

11:40:32		317.10		61.31		0.29		-0.31
11:40:33		317.55		60.93		0.29		-0.32
11:40:34		317.99		60.56		0.29		-0.32
11:40:35		318.42		60.19		0.29		-0.33
11:40:36		318.83		59.82		0.29		-0.34
11:40:37		319.24		59.45		0.30		-0.34
11:40:38		319.63		59.08		0.30		-0.35
11:40:39		320.01		58.71		0.30		-0.36
11:40:40		320.38		58.34		0.30		-0.37
11:40:41		320.74		57.97		0.30		-0.37
11:40:42		321.10		57.61		0.31		-0.38
11:40:43		321.44		57.25		0.31		-0.39
11:40:44		321.77		56.88		0.31		-0.39
11:40:45		322.10		56.52		0.31		-0.40
11:40:46		322.41		56.16		0.31		-0.41
11:40:47		322.72		55.81		0.32		-0.42
11:40:48		323.02		55.45		0.32		-0.42
